,Listing_AB_Date,Listing_BC_Date,Listing_SK_Date,Listing_MB_Date,Listing_ON_Date,Listing_NB_Date,Listing_NS_Date,Listing_PEI_Date,Listing_NL_Date,Listing_QC_Date,pCPA_to_Listing_BC_Date,pCPA_to_Listing_AB_Date,pCPA_to_Listing_SK_Date,pCPA_to_Listing_MB_Date,pCPA_to_Listing_ON_Date,pCPA_to_Listing_NB_Date,pCPA_to_Listing_NS_Date,pCPA_to_Listing_PEI_Date,pCPA_to_Listing_NL_Date,pCPA_to_Listing_QC_Date,Oncology,NAS,Rare_Disease_(FDA_or_EMA)
1,2012-01-01,,,2012-05-24,,2020-06-18,2021-08-01,,,,,,,,,,,,,,N,N,N
2,2015-09-01,2015-08-11,2015-07-01,2015-10-22,2015-07-29,2015-10-14,2015-09-01,2016-04-25,2015-08-01,2014-10-01,58.0,79.0,17.0,130.0,45.0,122.0,79.0,316.0,48.0,-256.0,N,N,N
3,2015-03-30,2014-11-01,2015-05-01,2015-04-20,2015-04-17,2015-07-15,2015-04-01,2018-08-01,2015-09-01,2015-11-20,-121.0,28.0,60.0,49.0,46.0,135.0,30.0,1248.0,183.0,263.0,Y,N,Y
4,2019-03-01,2019-03-12,2019-05-01,2019-05-31,2019-04-17,2020-10-22,,2022-02-28,2020-06-15,2019-10-02,96.0,85.0,146.0,176.0,132.0,686.0,,1180.0,557.0,300.0,N,N,N
5,2012-11-01,2013-04-11,2013-01-01,2013-07-17,,2013-02-14,2013-02-01,2013-10-01,2016-07-01,2012-10-01,,,,,,,,,,,N,N,Y
6,2015-05-01,2014-12-09,2014-11-01,2015-01-19,2014-04-09,2016-04-12,2016-06-01,2016-04-25,2016-07-01,2015-02-02,,,,,,,,,,,N,N,Y
7,2016-03-01,2016-02-19,2016-05-01,2016-04-18,,2016-04-12,2016-06-01,2016-04-25,2016-07-01,2016-06-15,65.0,76.0,137.0,124.0,,118.0,168.0,131.0,198.0,182.0,N,N,N
8,2018-12-01,,2019-01-01,2019-01-24,2018-10-31,2018-11-08,2019-04-01,2018-12-24,2018-12-20,,,101.0,132.0,155.0,70.0,78.0,222.0,124.0,120.0,,N,N,N
9,2014-05-01,2014-06-01,2014-02-04,2014-03-01,2014-02-19,2014-10-01,2015-01-01,,2018-06-25,2014-06-02,121.0,90.0,4.0,29.0,19.0,243.0,335.0,,1606.0,122.0,Y,Y,Y
10,2014-05-01,2014-06-01,2014-02-04,2014-03-01,2014-02-19,2015-10-01,2015-01-01,,2018-06-25,2014-02-03,121.0,90.0,4.0,29.0,19.0,608.0,335.0,,1606.0,3.0,Y,Y,Y
12,2020-04-10,2019-02-01,2019-05-01,2019-04-01,2019-12-17,2019-07-25,2019-07-01,,2019-07-29,2019-04-11,-40.0,394.0,49.0,19.0,279.0,134.0,110.0,,138.0,29.0,Y,N,Y
13,2021-02-28,2020-12-01,2021-01-01,2022-08-25,2022-01-31,,,,,2020-11-11,71.0,160.0,102.0,703.0,497.0,,,,,51.0,Y,N,Y
14,2021-07-01,2021-08-01,2021-08-01,2022-03-07,2022-01-31,,,,,2021-08-18,95.0,64.0,95.0,313.0,278.0,,,,,112.0,Y,N,Y
15,2021-07-31,2021-08-01,2021-08-01,2022-08-25,2021-11-30,,,,,2021-08-18,95.0,94.0,95.0,484.0,216.0,,,,,112.0,Y,N,Y
16,,2014-06-01,,,2021-11-30,,,,,,,,,,,,,,,,Y,Y,Y
18,,,2015-07-01,2015-04-20,2015-02-11,2015-07-23,2015-06-29,2018-08-01,2015-06-01,2014-04-24,,,159.0,87.0,19.0,181.0,157.0,1286.0,129.0,-274.0,N,Y,Y
19,2020-07-01,,2021-01-01,2021-08-05,2019-12-20,2020-05-21,2022-04-19,2022-03-28,2022-05-03,,,223.0,407.0,623.0,29.0,182.0,880.0,858.0,894.0,,N,Y,N
20,2021-08-01,2021-11-30,2021-01-01,2021-04-01,2020-12-18,2020-11-26,,2021-09-27,2022-05-03,2021-03-03,426.0,305.0,93.0,183.0,79.0,57.0,,362.0,580.0,154.0,N,N,N
23,2021-04-01,2021-08-12,2021-05-01,2021-08-05,2021-03-29,2021-04-22,2022-02-22,2021-11-22,2021-07-07,2021-03-03,743.0,610.0,640.0,736.0,607.0,631.0,937.0,845.0,707.0,581.0,N,N,N
26,2018-09-04,2018-02-01,2017-10-01,2018-01-28,2017-11-20,2018-03-20,2021-05-30,,2019-07-29,2017-12-15,153.0,368.0,30.0,149.0,80.0,200.0,1367.0,,696.0,105.0,Y,N,Y
29,2022-02-01,2022-03-29,2022-02-01,2022-06-01,2022-06-09,2022-03-24,2022-03-21,2022-12-28,2022-04-05,2022-02-02,116.0,60.0,60.0,180.0,188.0,111.0,108.0,390.0,123.0,61.0,N,Y,N
30,,2019-11-26,,2020-07-16,2019-06-28,2019-11-07,2019-09-01,2019-09-23,2019-07-18,2019-07-04,216.0,,,449.0,65.0,197.0,130.0,152.0,85.0,71.0,N,Y,N
33,2019-03-01,2019-05-01,2019-02-11,2019-05-31,2019-04-17,2019-05-16,2019-10-03,,2019-09-27,2019-02-01,141.0,80.0,62.0,171.0,127.0,156.0,296.0,,290.0,52.0,Y,N,Y
34,2019-03-01,2019-05-01,2019-02-11,2019-05-31,2019-04-17,2019-05-16,2019-10-03,2021-12-06,2019-09-27,2019-02-01,141.0,80.0,62.0,171.0,127.0,156.0,296.0,1091.0,290.0,52.0,Y,N,Y
41,2022-02-28,2022-06-01,2022-03-01,2022-06-01,2022-02-28,2022-04-29,2022-07-11,2022-09-26,2022-10-31,2022-02-02,167.0,74.0,75.0,167.0,74.0,134.0,207.0,284.0,319.0,48.0,Y,N,Y
42,2015-06-01,2015-08-11,2015-07-01,2015-07-22,2015-06-29,2015-06-29,2015-09-01,2015-09-21,2015-10-01,2016-03-24,102.0,31.0,61.0,82.0,59.0,59.0,123.0,143.0,153.0,328.0,N,Y,N
43,2015-11-01,2015-11-10,2016-01-01,2016-01-18,2015-11-26,2016-03-01,2016-03-01,2016-04-25,2015-12-01,2017-03-15,63.0,54.0,115.0,132.0,79.0,175.0,175.0,230.0,84.0,554.0,N,Y,N
45,2017-02-01,2016-10-12,2016-10-01,2016-10-20,2016-09-29,2016-09-29,2016-12-01,2017-04-24,2017-04-01,2016-12-16,65.0,177.0,54.0,73.0,52.0,52.0,115.0,259.0,236.0,130.0,N,N,N
47,2021-11-01,2022-06-14,2022-03-01,2022-02-24,2022-02-28,2021-12-16,2021-11-30,2022-03-28,2022-05-11,2021-12-15,257.0,32.0,152.0,147.0,151.0,77.0,61.0,179.0,223.0,76.0,N,N,N
51,2015-12-18,2014-04-01,2015-12-28,2015-11-16,2016-01-11,2016-12-15,2016-02-01,2018-08-01,2015-11-05,,-582.0,44.0,54.0,12.0,68.0,407.0,89.0,1001.0,1.0,,Y,N,N
52,2015-12-18,2017-10-01,2015-12-28,2015-11-16,2016-03-30,2016-12-15,2016-02-01,,2015-11-05,2017-11-15,697.0,44.0,54.0,12.0,147.0,407.0,89.0,,1.0,742.0,Y,N,Y
53,2018-05-08,2017-10-01,2017-09-01,2017-09-01,2017-10-05,2018-01-09,2018-02-01,,2017-08-11,2017-11-15,41.0,260.0,11.0,11.0,45.0,141.0,164.0,,-10.0,86.0,Y,N,Y
55,2022-02-01,2022-04-05,2022-03-01,2022-06-01,2021-01-31,2022-02-17,2022-06-27,2022-06-01,2022-02-01,2022-02-02,134.0,71.0,99.0,191.0,-295.0,87.0,217.0,191.0,71.0,72.0,N,N,N
56,2017-10-01,2018-08-21,2018-01-01,2017-10-19,2019-03-28,2017-10-24,2017-09-01,2017-09-25,2017-10-01,2017-08-18,410.0,86.0,178.0,104.0,629.0,109.0,56.0,80.0,86.0,42.0,N,N,N
57,2019-10-07,2019-05-01,2019-05-01,2019-02-14,2019-04-18,2019-06-24,2019-10-03,,2019-08-26,2019-03-07,104.0,263.0,104.0,28.0,91.0,158.0,259.0,,221.0,49.0,Y,Y,Y
58,2022-02-28,2022-06-01,2022-06-01,2022-12-15,2021-04-30,,,,,2022-02-02,168.0,75.0,168.0,365.0,-229.0,,,,,49.0,Y,N,N
61,2022-02-01,,2022-03-01,,2021-12-17,2021-12-16,,2022-12-28,,,,154.0,182.0,,108.0,107.0,,484.0,,,N,Y,N
63,2022-10-31,2019-06-01,2019-09-03,2019-06-26,2019-07-18,2019-11-01,2020-02-01,,,2019-03-07,115.0,1363.0,209.0,140.0,162.0,268.0,360.0,,,29.0,Y,Y,Y
65,2019-08-22,,2019-08-01,2020-03-02,2019-07-31,2019-10-24,2020-02-06,2019-10-28,2019-10-24,2019-08-15,,69.0,48.0,262.0,47.0,132.0,237.0,136.0,132.0,62.0,N,Y,N
67,2022-10-31,2017-11-01,2017-08-02,2017-02-15,2017-04-24,2017-08-24,2018-02-01,,,2019-03-07,296.0,2121.0,205.0,37.0,105.0,227.0,388.0,,,787.0,Y,Y,Y
68,2022-10-31,2019-05-01,2019-05-01,2019-06-01,2019-06-12,2019-11-01,2019-12-01,,,2019-03-07,106.0,1385.0,106.0,137.0,148.0,290.0,320.0,,,51.0,Y,N,Y
70,2022-10-31,2020-05-01,2020-09-03,2019-11-01,2020-02-25,2019-11-01,2019-12-01,,,2020-12-16,219.0,1132.0,344.0,37.0,153.0,37.0,67.0,,,448.0,Y,N,Y
71,,2022-11-01,,,2021-08-30,,,,,2021-07-07,529.0,,,,101.0,,,,,47.0,Y,N,Y
72,2022-10-31,2019-05-01,2019-05-01,2019-06-01,2019-06-12,2019-11-01,,,,2019-03-07,106.0,1385.0,106.0,137.0,148.0,290.0,,,,51.0,Y,Y,Y
73,2016-02-03,2016-12-01,2015-12-28,2016-04-18,2016-02-26,2016-04-12,2016-05-02,2020-08-18,2016-02-01,,388.0,86.0,49.0,161.0,109.0,155.0,175.0,1744.0,84.0,,Y,Y,Y
74,2020-07-30,,,2020-07-16,2021-03-31,2020-08-20,2021-03-31,,2021-06-01,,,162.0,,148.0,406.0,183.0,406.0,,468.0,,Y,Y,Y
75,1993-07-01,2019-02-26,2018-08-01,2018-07-19,2015-05-28,2018-07-18,2020-09-10,,,,,,,,,,,,,,N,N,N
76,2022-09-30,2022-12-01,2022-12-01,2023-01-24,2022-12-31,2022-11-21,2023-01-01,,2023-01-25,2022-08-17,148.0,86.0,148.0,202.0,178.0,138.0,179.0,,203.0,42.0,Y,N,N
77,2022-09-30,2022-12-01,2022-12-01,2023-01-24,2023-01-31,2022-11-21,2023-01-01,,2023-01-25,2022-08-17,148.0,86.0,148.0,202.0,209.0,138.0,179.0,,203.0,42.0,Y,Y,Y
78,2017-09-01,2017-07-18,2017-10-01,2017-10-19,2017-07-31,2017-10-24,2017-10-01,2017-09-25,2018-03-01,2017-08-18,29.0,74.0,104.0,122.0,42.0,127.0,104.0,98.0,255.0,60.0,N,N,N
80,2017-02-01,2016-09-13,2016-10-01,2016-10-20,2016-08-30,2016-08-24,2016-09-01,2016-10-24,2016-11-01,2016-12-16,64.0,205.0,82.0,101.0,50.0,44.0,52.0,105.0,113.0,158.0,N,N,N
82,2015-06-01,2015-05-15,2015-04-01,2015-04-20,2015-03-31,2015-03-06,2015-04-01,2015-05-25,2015-07-01,2016-03-24,101.0,118.0,57.0,76.0,56.0,31.0,57.0,111.0,148.0,415.0,N,Y,N
84,2022-11-01,2022-11-02,2022-11-01,2022-09-20,2022-10-31,2022-12-19,2022-11-01,2023-03-27,2022-12-07,2022-08-17,140.0,139.0,139.0,97.0,138.0,187.0,139.0,285.0,175.0,63.0,N,N,N
85,,,2019-08-01,,,,,,,,,,609.0,,,,,,,,N,N,N
86,,2020-02-01,,2020-10-22,2019-11-11,2021-05-13,2020-02-06,,2020-03-05,,10.0,,,274.0,-72.0,477.0,15.0,,43.0,,N,Y,Y
87,2018-12-01,2021-09-03,2019-01-01,2019-05-31,2018-12-21,2019-02-07,2019-04-01,2019-01-28,2018-12-06,2018-12-13,1047.0,40.0,71.0,221.0,60.0,108.0,161.0,98.0,45.0,52.0,N,Y,N
92,,,2021-12-01,2022-02-24,2021-11-30,2021-12-16,,2022-05-23,2022-07-20,2021-12-15,,,85.0,170.0,84.0,100.0,,258.0,316.0,99.0,N,Y,N
96,2020-04-10,2020-01-01,2020-03-01,2020-04-02,2020-05-06,2020-07-16,2020-06-01,2021-12-06,2021-09-30,2019-12-18,57.0,157.0,117.0,149.0,183.0,254.0,209.0,762.0,695.0,43.0,Y,Y,N
97,2021-11-30,2022-01-01,2021-11-01,2021-11-25,2022-03-31,2021-12-16,2021-11-30,2023-01-23,2021-09-30,2021-09-29,130.0,98.0,69.0,93.0,219.0,114.0,98.0,517.0,37.0,36.0,Y,N,Y
100,2022-01-31,2022-02-01,2022-02-01,2022-02-24,2021-12-31,2022-04-29,2022-06-10,2022-12-12,2022-10-31,2021-12-15,119.0,118.0,119.0,142.0,87.0,206.0,248.0,433.0,391.0,71.0,Y,Y,Y
101,2022-01-31,2022-02-01,2022-02-01,2022-02-24,2021-12-31,2022-04-29,2022-06-10,2022-12-12,2022-10-31,2021-12-15,119.0,118.0,119.0,142.0,87.0,206.0,248.0,433.0,391.0,71.0,Y,Y,Y
104,2018-09-04,2018-12-01,2018-11-15,2018-10-18,2018-09-13,2018-12-17,2019-12-01,2023-01-23,2021-12-06,,183.0,95.0,167.0,139.0,104.0,199.0,548.0,1697.0,1284.0,,Y,Y,Y
108,2016-03-01,2016-02-19,2016-05-01,2016-04-18,2016-04-26,2016-04-12,2016-02-01,2016-02-22,2016-03-01,2015-02-02,44.0,55.0,116.0,103.0,111.0,97.0,26.0,47.0,55.0,-338.0,N,N,N
109,2016-03-01,2016-02-19,2016-05-01,2016-04-18,2016-04-26,2016-04-12,2016-02-01,2016-02-22,2016-03-01,2015-02-02,19.0,30.0,91.0,78.0,86.0,72.0,1.0,22.0,30.0,-363.0,N,N,N
117,2018-06-01,2018-04-24,2018-04-01,2018-04-19,2018-04-01,2018-05-08,2019-05-01,2018-03-26,2018-03-01,,126.0,164.0,103.0,121.0,103.0,140.0,498.0,97.0,72.0,,N,N,N
118,2018-06-01,2018-04-24,2018-04-01,2018-04-19,2018-04-01,2018-05-08,2019-05-01,2018-03-26,2018-03-01,2018-09-27,126.0,164.0,103.0,121.0,103.0,140.0,498.0,97.0,72.0,282.0,N,N,N
119,2016-08-01,2016-07-28,2016-04-01,2016-10-20,2016-08-30,2016-07-07,2016-12-01,2016-10-24,2016-11-01,2015-10-01,50.0,54.0,-68.0,134.0,83.0,29.0,176.0,138.0,146.0,-251.0,N,Y,N
120,2017-11-28,2017-09-01,2017-09-01,2017-10-19,2017-11-17,2017-09-22,2020-05-01,2018-08-01,2017-06-01,2017-07-19,113.0,201.0,113.0,161.0,190.0,134.0,1086.0,447.0,21.0,69.0,Y,Y,Y
121,2020-02-01,2021-02-23,2020-03-01,2020-03-02,2020-03-04,2020-03-19,2020-12-14,2023-01-23,2020-11-12,2020-02-05,456.0,68.0,97.0,98.0,100.0,115.0,385.0,1155.0,353.0,72.0,N,Y,Y
122,2022-02-01,2021-10-29,2021-12-01,2022-02-24,2021-12-21,2022-03-24,2022-06-27,2022-07-25,2022-11-21,,49.0,144.0,82.0,167.0,102.0,195.0,290.0,318.0,437.0,,N,Y,Y
123,,,,,,,,,2022-12-02,2023-02-01,,,,,,,,,-45.0,16.0,N,N,Y
125,2017-04-03,2017-05-01,2016-12-21,2016-12-12,2017-02-28,2017-08-24,2017-05-30,,2017-08-03,2016-12-16,186.0,158.0,55.0,46.0,124.0,301.0,215.0,,280.0,50.0,Y,Y,Y
126,2019-12-01,2022-02-28,,2020-03-02,,2020-02-26,2021-01-01,,2021-04-15,2020-07-08,921.0,101.0,,193.0,,188.0,498.0,,602.0,321.0,N,N,N
127,2017-04-01,2017-03-21,2017-04-01,2017-04-20,2017-02-28,2017-03-29,2017-05-01,,2017-09-01,2017-03-15,32.0,43.0,43.0,62.0,11.0,40.0,73.0,,196.0,26.0,N,Y,N
128,2017-04-01,2017-03-21,2017-04-01,2017-04-20,2017-02-28,2017-03-29,2017-05-01,,2017-09-01,2017-03-15,369.0,380.0,380.0,399.0,348.0,377.0,410.0,,533.0,363.0,N,Y,N
130,2019-01-29,2019-02-01,2019-07-15,2019-01-08,2019-03-15,2019-04-26,2019-05-01,2022-07-01,2019-08-16,2018-12-13,79.0,76.0,243.0,55.0,121.0,163.0,168.0,1325.0,275.0,29.0,Y,N,Y
131,2022-09-30,2022-06-01,,2022-05-26,2022-09-30,,,2022-07-01,,,96.0,217.0,,90.0,217.0,,,126.0,,,Y,N,Y
132,2022-09-30,2022-06-01,,,2021-08-31,,,,,2022-04-13,96.0,217.0,,,-178.0,,,,,47.0,Y,N,Y
133,2022-09-30,2022-09-01,,2022-10-19,2022-08-31,,,2022-07-01,,2022-04-13,174.0,203.0,,222.0,173.0,,,112.0,,33.0,Y,N,Y
136,,,,2020-03-02,2019-10-31,2020-05-21,2021-03-01,2021-05-31,2020-09-11,2019-11-14,,,,139.0,16.0,219.0,503.0,594.0,332.0,30.0,N,N,N
138,2015-10-01,2015-07-07,2015-07-01,2015-07-22,2015-06-22,2015-11-24,2016-05-01,2018-08-01,2015-10-01,2014-06-02,57.0,143.0,51.0,72.0,42.0,197.0,356.0,1178.0,143.0,-343.0,N,Y,Y
139,2016-03-01,2014-02-25,2015-01-01,2014-07-17,2013-12-16,2014-09-11,2017-05-01,2015-11-23,2015-10-01,2014-06-02,104.0,839.0,414.0,246.0,33.0,302.0,1265.0,740.0,687.0,201.0,N,Y,N
142,,,2020-03-01,2020-03-02,2020-01-31,2020-03-19,2020-12-14,2020-12-28,2020-12-16,2019-12-18,,,101.0,102.0,71.0,119.0,389.0,403.0,391.0,27.0,N,N,N
143,2016-02-01,2016-04-05,2016-05-01,2016-04-18,2016-02-25,2015-12-21,2016-03-01,2016-03-28,2016-05-01,,112.0,48.0,138.0,125.0,72.0,6.0,77.0,104.0,138.0,,N,N,N
145,2022-02-01,,2022-03-01,2022-02-24,2021-01-31,2022-02-17,2022-05-16,2022-12-28,2022-07-07,,,63.0,91.0,86.0,-303.0,79.0,167.0,393.0,219.0,,N,N,N
146,2022-07-01,,2021-06-01,2021-08-05,,,,,,2019-10-02,,1018.0,623.0,688.0,,,,,,15.0,N,Y,N
150,2022-07-01,,2021-06-01,2021-08-05,2021-05-06,2021-05-13,2021-11-30,2021-11-22,2022-01-17,2021-05-27,,491.0,96.0,161.0,70.0,77.0,278.0,270.0,326.0,91.0,N,N,N
152,2018-12-01,2019-02-26,2018-10-01,2018-10-18,2018-09-27,2018-08-23,2019-08-01,,,2019-04-11,224.0,137.0,76.0,93.0,72.0,37.0,380.0,,,268.0,N,N,N
153,2018-12-01,2019-02-26,2018-10-01,2018-10-18,2018-09-27,2018-08-23,2019-08-01,,,2019-04-11,224.0,137.0,76.0,93.0,72.0,37.0,380.0,,,268.0,N,N,N
154,2018-12-01,2019-02-26,2018-10-01,2019-01-24,2018-09-27,2018-12-17,2019-08-01,,,2019-04-11,180.0,93.0,32.0,147.0,28.0,109.0,336.0,,,224.0,N,N,N
159,2019-09-01,,,2018-10-18,,2019-03-27,2020-07-31,,,,,472.0,,154.0,,314.0,806.0,,,,N,Y,Y
161,2015-11-01,2016-04-05,2015-10-01,2015-10-22,2015-09-30,2015-10-14,2016-12-01,2016-04-25,2015-09-01,2015-06-01,271.0,115.0,84.0,105.0,83.0,97.0,511.0,291.0,54.0,-38.0,N,N,N
162,2023-02-01,,2023-02-01,2023-04-01,2022-12-01,,,,2023-03-07,2023-02-01,,71.0,71.0,130.0,9.0,,,,105.0,71.0,N,Y,N
164,2021-11-01,2022-06-14,,2022-02-24,2022-02-28,2022-01-20,2021-11-30,2022-03-28,2022-05-11,2021-12-15,257.0,32.0,,147.0,151.0,112.0,61.0,179.0,223.0,76.0,N,N,N
167,,,2022-11-01,2023-01-24,2023-02-03,2022-10-24,2023-02-01,,,2022-08-17,,,126.0,210.0,220.0,118.0,218.0,,,50.0,N,Y,Y
168,2017-09-01,2018-03-06,2017-04-01,2017-07-19,2017-04-27,2017-09-22,2019-04-01,2019-08-01,2018-06-01,2017-03-15,365.0,179.0,26.0,135.0,52.0,200.0,756.0,878.0,452.0,9.0,N,Y,N
169,,,,,,,,,,2022-09-28,,,,,,,,,,42.0,N,Y,N
170,2022-04-01,2022-05-31,2022-04-01,2022-06-01,2022-04-29,2022-04-29,2022-06-27,2023-02-20,2022-07-07,2022-03-02,113.0,53.0,53.0,114.0,81.0,81.0,140.0,378.0,150.0,23.0,N,N,N
171,2022-03-01,2022-04-12,,2021-11-25,2022-01-11,2021-10-14,2022-04-29,2021-11-22,2022-02-21,2021-12-15,242.0,200.0,,104.0,151.0,62.0,259.0,101.0,192.0,124.0,N,N,N
172,2017-07-01,2017-05-02,2017-04-01,2017-07-19,2017-04-18,2017-05-29,2017-05-01,2017-08-07,2017-05-11,2017-04-21,60.0,120.0,29.0,138.0,46.0,87.0,59.0,157.0,69.0,49.0,N,N,N
173,2017-07-01,2017-05-02,2017-04-01,2017-07-19,2017-04-18,2017-05-29,2017-05-01,2018-08-01,2017-05-11,2017-04-21,60.0,120.0,29.0,138.0,46.0,87.0,59.0,516.0,69.0,49.0,N,Y,N
174,2022-03-01,2022-04-12,2021-12-01,2021-11-25,2022-01-11,2021-10-14,2022-04-29,2021-11-22,2022-02-21,2021-12-15,242.0,200.0,110.0,104.0,151.0,62.0,259.0,101.0,192.0,124.0,N,Y,N
175,2017-04-01,2017-03-21,2017-04-01,2017-04-20,2017-02-28,2017-04-04,2017-05-01,2017-05-01,2017-08-01,2017-03-15,32.0,43.0,43.0,62.0,11.0,46.0,73.0,73.0,165.0,26.0,N,Y,N
177,2018-03-01,2017-11-14,2018-04-01,2018-04-19,2017-12-21,2018-01-22,2018-08-01,2017-11-24,2018-04-01,2018-02-01,28.0,135.0,166.0,184.0,65.0,97.0,288.0,38.0,166.0,107.0,N,N,N
178,2014-06-20,2014-10-01,2014-07-18,2014-07-01,2014-04-16,2014-06-25,2014-12-29,2020-08-18,2014-10-01,2018-05-24,183.0,80.0,108.0,91.0,15.0,85.0,272.0,2331.0,183.0,1514.0,Y,Y,N
179,2020-04-10,2020-05-01,2020-01-01,2020-03-02,2020-01-14,2020-07-16,2020-07-01,2023-02-20,2022-03-31,2019-08-15,297.0,276.0,176.0,237.0,189.0,373.0,358.0,1322.0,996.0,37.0,Y,Y,N
180,2021-11-30,2021-12-01,2021-11-01,2021-11-23,2021-12-31,2022-01-20,,2023-02-20,2022-03-31,2021-09-29,106.0,105.0,76.0,98.0,136.0,156.0,,552.0,226.0,43.0,Y,N,N
183,2016-11-01,2018-02-06,,,,,,,,2018-04-18,513.0,51.0,,,,,,,,584.0,N,Y,Y
186,2022-03-01,2022-02-10,2022-03-01,2022-06-01,2022-03-28,2022-05-24,2022-10-01,2023-03-27,,2022-02-02,22.0,41.0,41.0,133.0,68.0,125.0,255.0,432.0,,14.0,N,Y,Y
187,2017-08-01,,2017-07-01,,2017-03-28,2017-10-24,,2018-08-01,2017-05-15,2017-06-01,,141.0,110.0,,15.0,225.0,,506.0,63.0,80.0,N,N,N
188,2017-08-01,,2015-07-01,,2015-07-29,2015-06-29,,2018-08-01,2015-07-01,2015-06-01,,763.0,1.0,,29.0,-1.0,,1128.0,1.0,-29.0,N,N,N
190,2017-08-01,,2015-07-01,,2015-07-29,2015-06-29,,2015-05-25,2015-07-01,,,858.0,96.0,,124.0,94.0,,59.0,96.0,,N,Y,N
191,2017-08-01,,2015-07-01,,2015-07-29,2015-06-29,,2018-08-01,2015-07-01,2015-06-01,,763.0,1.0,,29.0,-1.0,,1128.0,1.0,-29.0,N,N,N
194,2019-08-01,2020-04-01,2019-08-01,2020-03-02,2019-06-13,2019-07-04,2019-09-01,2021-03-15,2019-07-19,2019-07-04,334.0,90.0,90.0,304.0,41.0,62.0,121.0,682.0,77.0,62.0,N,Y,N
196,2020-09-30,,,,2020-11-30,,,,2019-10-22,,,610.0,,,671.0,,,,266.0,,Y,Y,N
198,2017-07-01,2016-10-25,2017-01-01,,2016-10-17,2016-12-21,2016-12-01,,2017-05-25,,48.0,297.0,116.0,,40.0,105.0,85.0,,260.0,,N,Y,N
200,2016-01-01,2018-10-02,2016-05-01,2016-01-18,2016-01-28,2016-04-12,2017-05-01,2016-06-27,2016-08-01,2014-02-03,1110.0,105.0,226.0,122.0,132.0,207.0,591.0,283.0,318.0,-592.0,N,Y,N
201,2019-09-01,,2019-11-01,2020-03-02,2019-10-31,2020-02-26,2020-07-06,,,,,,,,,,,,,,N,N,N
202,2019-09-01,,2019-11-01,2020-03-02,2019-10-31,2020-02-26,2020-07-06,,,,,26.0,87.0,209.0,86.0,204.0,335.0,,,,N,N,N
203,2016-01-01,2018-02-06,2016-08-01,2016-01-18,2015-11-05,2016-03-01,2016-05-02,2016-06-27,2018-10-01,2015-06-01,893.0,126.0,339.0,143.0,69.0,186.0,248.0,304.0,1130.0,-88.0,N,Y,Y
205,2020-09-15,2020-04-01,2020-06-01,2020-07-22,2020-07-17,,2020-07-01,,,,82.0,249.0,143.0,194.0,189.0,,173.0,,,,Y,Y,Y
206,2022-03-01,2022-01-11,2022-02-01,2022-02-24,2021-12-17,2022-02-17,2022-06-27,2022-12-12,2022-04-21,2021-12-15,54.0,103.0,75.0,98.0,29.0,91.0,221.0,389.0,154.0,27.0,N,N,N
208,2017-04-01,,,2017-01-25,2016-11-30,2016-11-30,2017-08-01,,,2015-10-01,,180.0,,114.0,58.0,58.0,302.0,,,-368.0,N,Y,N
209,,,2017-01-01,,2016-11-30,,,2017-04-24,2017-02-01,,,,90.0,,58.0,,,203.0,121.0,,N,N,N
210,2020-03-01,,,,2020-05-29,2020-06-18,2020-04-22,2021-10-25,2021-02-25,2020-04-29,,160.0,,,249.0,269.0,212.0,763.0,521.0,219.0,N,N,N
211,2014-05-01,2014-08-15,2014-07-01,2014-07-17,2014-02-27,2014-09-11,2014-05-23,2016-04-25,2014-05-20,2014-02-03,,,,,,,,,,,N,Y,N
212,2019-08-01,2020-09-24,2019-11-01,2020-03-02,2019-09-30,2019-12-19,2021-03-01,2021-11-22,,2019-08-15,450.0,30.0,122.0,244.0,90.0,170.0,608.0,874.0,,44.0,N,N,N
213,2019-10-01,,,,2019-05-13,2019-05-16,2019-08-01,,2021-08-19,2019-03-07,,399.0,,,258.0,261.0,338.0,,1087.0,191.0,N,Y,Y
216,2015-08-06,2016-05-01,2015-06-22,2015-06-22,2015-07-17,2016-05-02,2015-10-15,2018-08-01,2018-07-03,2015-06-01,352.0,83.0,38.0,38.0,63.0,353.0,153.0,1174.0,1145.0,17.0,Y,Y,Y
217,2018-09-04,2018-07-01,2018-08-15,2018-06-01,2018-10-17,2018-10-19,2018-10-15,,2018-07-03,2018-05-24,174.0,239.0,219.0,144.0,282.0,284.0,280.0,,176.0,136.0,Y,N,Y
222,2017-05-04,2017-07-12,2017-07-01,2017-07-19,2017-04-27,2017-08-15,2018-02-01,2019-01-28,2017-08-01,2017-04-21,121.0,52.0,110.0,128.0,45.0,155.0,325.0,686.0,141.0,39.0,N,Y,N
223,2014-09-30,2014-10-01,2014-09-15,2014-10-16,2014-08-19,2014-09-11,2014-12-29,2016-10-24,2015-06-01,2016-05-04,90.0,89.0,74.0,105.0,47.0,70.0,179.0,844.0,333.0,671.0,Y,Y,Y
226,2018-07-01,2018-11-27,2018-07-01,2018-04-19,2018-09-27,2018-06-11,2020-02-01,2021-07-26,2018-08-21,2018-07-05,271.0,122.0,122.0,49.0,210.0,102.0,702.0,1243.0,173.0,126.0,N,N,N
